"COMPETENCY","Aliança","Aliança: Acreditamos que nosso sucesso é fruto da construção conjunta, fortalecido por relações e alianças genuínas em que todos ganham.","Aliança: Acreditamos que nosso sucesso é fruto da construção conjunta, fortalecido por relações e alianças genuínas em que todos ganham.","172","pt_BR"
"TEASER","Aliança","Aliança: Acreditamos que nosso sucesso é fruto da construção conjunta, fortalecido por relações e alianças genuínas em que todos ganham.","","Melhorar"
"TEASER","Aliança","Aliança: Acreditamos que nosso sucesso é fruto da construção conjunta, fortalecido por relações e alianças genuínas em que todos ganham.","","Está de acordo"
"TEASER","Aliança","Aliança: Acreditamos que nosso sucesso é fruto da construção conjunta, fortalecido por relações e alianças genuínas em que todos ganham.","","Excede"
"COMPETENCY","Cultivo de Talentos","Cultivo de Talentos: Acreditamos e confiamos nas pessoas e, por isso, investimos tempo e recursos cultivando nossos talentos.","Cultivo de Talentos: Acreditamos e confiamos nas pessoas e, por isso, investimos tempo e recursos cultivando nossos talentos.","173","pt_BR"
"TEASER","Cultivo de Talentos","Cultivo de Talentos: Acreditamos e confiamos nas pessoas e, por isso, investimos tempo e recursos cultivando nossos talentos.","","Improve"
"TEASER","Cultivo de Talentos","Cultivo de Talentos: Acreditamos e confiamos nas pessoas e, por isso, investimos tempo e recursos cultivando nossos talentos.","","Meets"
"TEASER","Cultivo de Talentos","Cultivo de Talentos: Acreditamos e confiamos nas pessoas e, por isso, investimos tempo e recursos cultivando nossos talentos.","","Exceeds"
"COMPETENCY","Diálogo Aberto","Diálogo Aberto: Acreditamos que um ambiente de confiança propicia diálogo e espaço para falar e ser ouvido, onde a diversidade de opiniões constrói melhores soluções.","Diálogo Aberto: Acreditamos que um ambiente de confiança propicia diálogo e espaço para falar e ser ouvido, onde a diversidade de opiniões constrói melhores soluções.","174","pt_BR"
"TEASER","Diálogo Aberto","Diálogo Aberto: Acreditamos que um ambiente de confiança propicia diálogo e espaço para falar e ser ouvido, onde a diversidade de opiniões constrói melhores soluções.","","Melhorar"
"TEASER","Diálogo Aberto","Diálogo Aberto: Acreditamos que um ambiente de confiança propicia diálogo e espaço para falar e ser ouvido, onde a diversidade de opiniões constrói melhores soluções.","","Está de acordo"
"TEASER","Diálogo Aberto","Diálogo Aberto: Acreditamos que um ambiente de confiança propicia diálogo e espaço para falar e ser ouvido, onde a diversidade de opiniões constrói melhores soluções.","","Excede"
"COMPETENCY","Excelência","Excelência: Acreditamos que podemos fazer sempre mais e melhor, superando os desafios com disciplina, humildade e simplicidade.","Excelência: Acreditamos que podemos fazer sempre mais e melhor, superando os desafios com disciplina, humildade e simplicidade.","175","pt_BR"
"TEASER","Excelência","Excelência: Acreditamos que podemos fazer sempre mais e melhor, superando os desafios com disciplina, humildade e simplicidade.","","Melhorar"
"TEASER","Excelência","Excelência: Acreditamos que podemos fazer sempre mais e melhor, superando os desafios com disciplina, humildade e simplicidade.","","Está de acordo"
"TEASER","Excelência","Excelência: Acreditamos que podemos fazer sempre mais e melhor, superando os desafios com disciplina, humildade e simplicidade.","","Excede"
"COMPETENCY","Meritocracia","Meritocracia: Acreditamos que as pessoas são únicas e, por isso, merecem ser valorizadas de forma justa e de acordo com suas entregas.","Meritocracia: Acreditamos que as pessoas são únicas e, por isso, merecem ser valorizadas de forma justa e de acordo com suas entregas.","176","pt_BR"
"TEASER","Meritocracia","Meritocracia: Acreditamos que as pessoas são únicas e, por isso, merecem ser valorizadas de forma justa e de acordo com suas entregas.","","Melhorar"
"TEASER","Meritocracia","Meritocracia: Acreditamos que as pessoas são únicas e, por isso, merecem ser valorizadas de forma justa e de acordo com suas entregas.","","Está de acordo"
"TEASER","Meritocracia","Meritocracia: Acreditamos que as pessoas são únicas e, por isso, merecem ser valorizadas de forma justa e de acordo com suas entregas.","","Excede"
"COMPETENCY","Pragmatismo","Pragmatismo: Acreditamos ser essencial dedicar esforços ao que é relevante, com objetividade e sem perder a visão do todo e do futuro.","Pragmatismo: Acreditamos ser essencial dedicar esforços ao que é relevante, com objetividade e sem perder a visão do todo e do futuro.","177","pt_BR"
"TEASER","Pragmatismo","Pragmatismo: Acreditamos ser essencial dedicar esforços ao que é relevante, com objetividade e sem perder a visão do todo e do futuro.","","Melhorar"
"TEASER","Pragmatismo","Pragmatismo: Acreditamos ser essencial dedicar esforços ao que é relevante, com objetividade e sem perder a visão do todo e do futuro.","","Está de acordo"
"TEASER","Pragmatismo","Pragmatismo: Acreditamos ser essencial dedicar esforços ao que é relevante, com objetividade e sem perder a visão do todo e do futuro.","","Excede"
"COMPETENCY","Senso de Dono","Senso de Dono: Acreditamos naqueles que assumem responsabilidades, trabalham com paixão e lideram pelo exemplo, comemorando as conquistas e transformando erros em aprendizados.","Senso de Dono: Acreditamos naqueles que assumem responsabilidades, trabalham com paixão e lideram pelo exemplo, comemorando as conquistas e transformando erros em aprendizados.","178","pt_BR"
"TEASER","Senso de Dono","Senso de Dono: Acreditamos naqueles que assumem responsabilidades, trabalham com paixão e lideram pelo exemplo, comemorando as conquistas e transformando erros em aprendizados.","","Melhorar"
"TEASER","Senso de Dono","Senso de Dono: Acreditamos naqueles que assumem responsabilidades, trabalham com paixão e lideram pelo exemplo, comemorando as conquistas e transformando erros em aprendizados.","","Está de acordo"
"TEASER","Senso de Dono","Senso de Dono: Acreditamos naqueles que assumem responsabilidades, trabalham com paixão e lideram pelo exemplo, comemorando as conquistas e transformando erros em aprendizados.","","Excede"
