^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,zh_CN,en_GB,tr_TR,en_DEBUG,pt_BR,es_ES,fr_FR,ar_SA
9box,,-1,-1,-1,ACTIVE,,-1,1,,,,1,1,,,
9box,,-1,-1,-1,ACTIVE,,-1,2,,,,2,2,,,
9box,,-1,-1,-1,ACTIVE,,-1,3,,,,3,3,,,
9box,,-1,-1,-1,ACTIVE,null,-1,4,,,,4,4,,,
9box,,-1,-1,-1,ACTIVE,null,-1,5,,,,5,5,,,
9box,,-1,-1,-1,ACTIVE,null,-1,6,,,,6,6,,,
9box,,-1,-1,-1,ACTIVE,null,-1,7,,,,7,7,,,
9box,,-1,-1,-1,ACTIVE,null,-1,8,,,,8,8,,,
9box,,-1,-1,-1,ACTIVE,,-1,9,,,,9,9,,,
benchStrength,,-1,-1,5,ACTIVE,null,-1,Emergency Replacement,Emergency Replacement,,Emergency Replacement,Emergency Replacement,Reposição Emergencial,Emergency Replacement,Emergency Replacement,
benchStrength,,-1,-1,4,ACTIVE,null,-1,Ready Now,Ready Now,,Ready Now,Ready Now,Prontidão Imediata,Ready Now,Ready Now,
benchStrength,,-1,-1,3,ACTIVE,null,-1,Short Term (up to 2 years),Short Term (up to 2 years),,Short Term (up to 2 years),Short Term (up to 2 years),Curto Prazo (Até 2 anos),Short Term (up to 2 years),Short Term (up to 2 years),
benchStrength,,-1,-1,2,ACTIVE,null,-1,Medium Term (2-3 years),Medium Term (2-3 years),,Medium Term (2-3 years),Medium Term (2-3 years),Médio Prazo (de 2 a 3 anos),Medium Term (2-3 years),Medium Term (2-3 years),
benchStrength,,-1,-1,1,ACTIVE,null,-1,Long Term (Above 4 years),Long Term (Above 4 years),,Long Term (Above 4 years),Long Term (Above 4 years),Longo Prazo (Acima de 4 anos),Long Term (Above 4 years),Long Term (Above 4 years),
impactOfLoss,,1,1,1,ACTIVE,,-1,Low,,,,Low,Baixo,,,
impactOfLoss,,2,2,2,ACTIVE,,-1,Medium,,,,Medium,Médio,,,
impactOfLoss,,3,3,3,ACTIVE,,-1,High,,,,High,Alto,,,
readiness,,-1,-1,5,DELETED,null,-1,Emergency Replacement,Emergency Replacement,,Emergency Replacement,Emergency Replacement,Reposição Emergencial,Emergency Replacement,Emergency Replacement,
readiness,,-1,-1,4,ACTIVE,null,-1,Ready Now,Ready Now,,Ready Now,Ready Now,Prontidão Imediata,Ready Now,Ready Now,
readiness,,-1,-1,3,ACTIVE,null,-1,Short Term (up to 2 years),Short Term (up to 2 years),,Short Term (up to 2 years),Short Term (up to 2 years),Curto Prazo (Até 2 anos),Short Term (up to 2 years),Short Term (up to 2 years),
readiness,,-1,-1,2,ACTIVE,null,-1,Medium Term (2-4 years),Medium Term (2-4 years),,Medium Term (2-4 years),Medium Term (2-4 years),Médio Prazo (de 2 a 4 anos),Medium Term (2-4 years),Medium Term (2-4 years),
readiness,,-1,-1,1,ACTIVE,null,-1,Long Term (Above 4 years),Long Term (Above 4 years),,Long Term (Above 4 years),Long Term (Above 4 years),Longo Prazo (Acima de 4 anos),Long Term (Above 4 years),Long Term (Above 4 years),
riskOfLoss,,1,1,1,ACTIVE,,-1,Low,,,,Low,Baixo,,,
riskOfLoss,,2,2,2,ACTIVE,,-1,Medium,,,,Medium,Médio,,,
riskOfLoss,,3,3,3,ACTIVE,,-1,High,,,,High,Alto,,,
talentPool,,-1,-1,-1,ACTIVE,,-1,Yes,,,,Yes,Sim,,,
talentPool,,-1,-1,-1,ACTIVE,,-1,No,,,,No,Não,,,
talentPool,,-1,-1,-1,DELETED,,-1,Especialist,,,,Especialist,Profissional Especialista / Técnico,,,
talentPool,,-1,-1,-1,DELETED,,-1,Retirement,,,,Retirement,Planejamento de Aposentadoria,,,
yesno,,1,1,-1,ACTIVE,null,-1,Yes,,,,Yes,Sim,,,
yesno,,2,2,-1,ACTIVE,null,-1,No,,,,No,Não,,,
